Tên_mặt_hàng,Thị_trường,Loại_giá,Đơn_vị_tính,Loại_tiền,Nguồn,Ngày,Giá,Ngành_hàng
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/30/2025 12:00:00 AM,130633.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/30/2025 12:00:00 AM,130600.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/30/2025 12:00:00 AM,130200.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/29/2025 12:00:00 AM,130733.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/29/2025 12:00:00 AM,130750.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/29/2025 12:00:00 AM,130633.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/29/2025 12:00:00 AM,130600.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/29/2025 12:00:00 AM,130200.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/28/2025 12:00:00 AM,130633.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/28/2025 12:00:00 AM,130650.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/28/2025 12:00:00 AM,130533.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/28/2025 12:00:00 AM,130500.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/28/2025 12:00:00 AM,130100.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/25/2025 12:00:00 AM,132133.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/25/2025 12:00:00 AM,132150.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/25/2025 12:00:00 AM,131933.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/25/2025 12:00:00 AM,131900.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/25/2025 12:00:00 AM,131500.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/24/2025 12:00:00 AM,130433.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/24/2025 12:00:00 AM,130450.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/24/2025 12:00:00 AM,130133.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/24/2025 12:00:00 AM,130200.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/24/2025 12:00:00 AM,129900.0,Cà phê
