Tên_mặt_hàng,Thị_trường,Loại_giá,Đơn_vị_tính,Loại_tiền,Nguồn,Ngày,Giá
Bắp cải,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,10000.0
Bắp cải thảo,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,10000.0
Bưởi da xanh,Sơn La,Bán lẻ,VNĐ/quả,VNĐ,CTV địa phương,2025-05-19,35000.0
Bưởi Diễn,Sơn La,Bán lẻ,VNĐ/quả,VNĐ,CTV địa phương,2025-05-19,10000.0
Cà chua,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,12000.0
Cà rốt,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,15000.0
Chanh,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,30000.0
Củ cải,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,10000.0
Đào,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,35000.0
Đậu cove,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,25000.0
Dưa chuột/dưa chuột,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,20000.0
Khoai tây,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,20000.0
Mận hậu,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,60000.0
Mít thái,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,25000.0
Mơ,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,25000.0
Mồng tơi,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,20000.0
Mướp đắng,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,25000.0
Mướp hương,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,20000.0
Ổi,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,25000.0
Quả bầu,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,15000.0
Quả bí đỏ,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,20000.0
Quả bí xanh,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,20000.0
Rau cải,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,12000.0
Rau cải bó xôi,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,15000.0
Rau ngót,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,30000.0
Su hào,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,15000.0
Su su quả,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,20000.0
Vải,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,45000.0
Xoài tròn Sông Mã,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,30000.0
Xoài tròn Yên Châu,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,30000.0
Bưởi da xanh,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-13,65000.0
Cà chua,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-13,16000.0
Cà rốt,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-13,17000.0
Cam sành,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-13,40000.0
Chôm chôm,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-13,55000.0
Dưa chuột/dưa chuột,Hà Nội,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-13,20000.0
Dưa hấu,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-13,22000.0
Dưa lưới vàng,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-13,40000.0
Khoai tây,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-13,16000.0
Măng cụt,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-13,70000.0
Mướp,Hà Nội,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-13,8000.0
Mướp hương,Hà Nội,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-13,23000.0
Rau cải mơ,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-13,25000.0
Rau cải ngọt,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-13,25000.0
Rau dền,Hà Nội,Bán lẻ,VNĐ/mớ,VNĐ,CTV địa phương,2025-05-13,6000.0
Rau mùng tơi,Hà Nội,Bán lẻ,VNĐ/mớ,VNĐ,CTV địa phương,2025-05-13,10000.0
Rau muống,Hà Nội,Bán lẻ,VNĐ/mớ,VNĐ,CTV địa phương,2025-05-13,8000.0
Thanh long ruột trắng,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-13,40000.0
Xoài Cát Chu,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-13,50000.0
Bắp cải,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,10000.0
Bắp cải thảo,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,10000.0
Bưởi da xanh,Sơn La,Bán lẻ,VNĐ/quả,VNĐ,CTV địa phương,2025-05-12,35000.0
Bưởi Diễn,Sơn La,Bán lẻ,VNĐ/quả,VNĐ,CTV địa phương,2025-05-12,10000.0
Cà chua,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,12000.0
Cà rốt,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,15000.0
Chanh,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,30000.0
Củ cải,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,10000.0
Đào,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,35000.0
Đậu cove,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,25000.0
Dưa chuột/dưa chuột,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,20000.0
Khoai tây,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,20000.0
Mận hậu,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,60000.0
Mít thái,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,25000.0
Mơ,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,25000.0
Mồng tơi,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,20000.0
Mướp đắng,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,20000.0
Mướp hương,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,20000.0
Ổi,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,25000.0
Quả bầu,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,15000.0
Quả bí đỏ,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,20000.0
Quả bí xanh,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,20000.0
Rau cải,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,12000.0
Rau cải bó xôi,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,15000.0
Rau ngót,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,30000.0
Su hào,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,15000.0
Su su quả,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,20000.0
Bưởi da xanh,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-09,65000.0
Cà chua,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-09,15000.0
Cam sành,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-09,40000.0
Dứa,Hà Nội,Bán lẻ,VNĐ/quả,VNĐ,CTV địa phương,2025-05-09,13000.0
Dưa chuột/dưa chuột,Hà Nội,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,20000.0
Dưa hấu,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-09,25000.0
Dưa lê,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-09,35000.0
Khoai tây,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-09,16000.0
Măng cụt,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-09,70000.0
Mướp,Hà Nội,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,22000.0
Quả bí đao,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-09,18000.0
Rau cải mơ,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-09,20000.0
Rau cải ngọt,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-09,20000.0
Rau dền,Hà Nội,Bán lẻ,VNĐ/mớ,VNĐ,CTV địa phương,2025-05-09,7000.0
Rau mùng tơi,Hà Nội,Bán lẻ,VNĐ/mớ,VNĐ,CTV địa phương,2025-05-09,8000.0
Rau muống,Hà Nội,Bán lẻ,VNĐ/mớ,VNĐ,CTV địa phương,2025-05-09,7000.0
Rau ngót,Hà Nội,Bán lẻ,VNĐ/mớ,VNĐ,CTV địa phương,2025-05-09,8000.0
Thanh long ruột trắng,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-09,40000.0
Xoài Cát Chu,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-09,50000.0
Bắp cải,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,10000.0
Bắp cải thảo,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,10000.0
Bưởi da xanh,Sơn La,Bán lẻ,VNĐ/quả,VNĐ,CTV địa phương,2025-05-08,35000.0
Bưởi Diễn,Sơn La,Bán lẻ,VNĐ/quả,VNĐ,CTV địa phương,2025-05-08,10000.0
Cà chua,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,12000.0
Cà rốt,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,15000.0
Chanh,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,35000.0
Chanh leo tím,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,25000.0
Củ cải,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,10000.0
Đào,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,30000.0
Đậu cove,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,25000.0
Dưa chuột/dưa chuột,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,20000.0
Khoai tây,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,20000.0
Mận hậu,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,60000.0
Mận tam hoa,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,20000.0
Mít thái,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,25000.0
Mơ,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,25000.0
Mồng tơi,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,20000.0
Mướp đắng,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,20000.0
Mướp hương,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,15000.0
Ổi,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,25000.0
Quả bầu,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,15000.0
Quả bí đỏ,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,20000.0
Quả bí xanh,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,20000.0
Rau cải,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,12000.0
Rau cải bó xôi,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,15000.0
Rau ngót,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,30000.0
Su hào,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,15000.0
Su su quả,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-08,25000.0
Bưởi da xanh,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,31000.0
Bưởi long Núm,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,13000.0
Bưởi năm roi,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,19000.0
Cải bẹ xanh,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,14500.0
Cam dây,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,17000.0
Cam sành,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,19000.0
Chôm chôm Java,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,20000.0
Chôm chôm nhãn,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,25000.0
Chuối già,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,5000.0
Chuối sim,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,12000.0
Đu đủ,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,10000.0
Dưa chuột/dưa chuột,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,10000.0
Dưa hấu,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,13500.0
Dừa khô,Tiền Giang,Thương lái thu mua,VNĐ/Chục quả,VNĐ,CTV địa phương,2025-05-07,14700.0
Dừa tươi,Tiền Giang,Thương lái thu mua,VNĐ/Chục quả,VNĐ,CTV địa phương,2025-05-07,120000.0
Hồng xiêm,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,27000.0
Mít thái,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,22000.0
Ổi không hạt,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,9000.0
Sầu Riêng Ri 6 (loại đẹp),Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,62000.0
Sầu Riêng Ri 6 (loại xô),Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,50000.0
Thanh long ruột đỏ,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,33000.0
Thanh long ruột trắng,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,24000.0
Trái Cóc mỡ,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,6800.0
Trái dứa/thơm,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,12000.0
Xà lách,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,19000.0
Xoài Cát Chu,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,22000.0
Xoài keo,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,19500.0
Bưởi da xanh,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-06,60000.0
Cà chua,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-06,15000.0
Cam sành,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-06,40000.0
Dứa,Hà Nội,Bán lẻ,VNĐ/quả,VNĐ,CTV địa phương,2025-05-06,13000.0
Dưa chuột/dưa chuột,Hà Nội,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-06,20000.0
Dưa hấu,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-06,25000.0
Dưa lê,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-06,35000.0
Khoai tây,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-06,16000.0
Mướp,Hà Nội,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-06,25000.0
Nhãn,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-06,55000.0
Quả bí đao,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-06,17000.0
Rau cải mơ,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-06,20000.0
Rau cải ngọt,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-06,20000.0
Rau dền,Hà Nội,Bán lẻ,VNĐ/mớ,VNĐ,CTV địa phương,2025-05-06,7000.0
Rau mùng tơi,Hà Nội,Bán lẻ,VNĐ/mớ,VNĐ,CTV địa phương,2025-05-06,8000.0
Rau muống,Hà Nội,Bán lẻ,VNĐ/mớ,VNĐ,CTV địa phương,2025-05-06,7000.0
Rau ngót,Hà Nội,Bán lẻ,VNĐ/mớ,VNĐ,CTV địa phương,2025-05-06,10000.0
Thanh long ruột trắng,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-06,40000.0
Xoài Cát Chu,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-05-06,50000.0
Bắp cải,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,10000.0
Bắp cải thảo,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,10000.0
Bưởi da xanh,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,35000.0
Bưởi Diễn,Sơn La,Bán lẻ,VNĐ/quả,VNĐ,CTV địa phương,2025-05-05,10000.0
Cà chua,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,12000.0
Cà rốt,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,15000.0
Chanh,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,35000.0
Chanh leo tím,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,25000.0
Củ cải,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,10000.0
Đào,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,30000.0
Đậu cove,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,25000.0
Dưa chuột/dưa chuột,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,20000.0
Khoai tây,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,20000.0
Mận hậu,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,60000.0
Mận tam hoa,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,20000.0
Mít thái,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,25000.0
Mơ,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,25000.0
Mồng tơi,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,20000.0
Mướp đắng,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,20000.0
Mướp hương,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,15000.0
Ổi,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,25000.0
Quả bầu,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,15000.0
Quả bí đỏ,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,20000.0
Quả bí xanh,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,20000.0
Rau cải,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,12000.0
Rau cải bó xôi,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,15000.0
Rau ngót,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,30000.0
Su hào,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,15000.0
Su su quả,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,25000.0
Bưởi da xanh,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-04-29,55000.0
Cà chua,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-04-29,15000.0
Cam sành,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-04-29,40000.0
Dứa,Hà Nội,Bán lẻ,VNĐ/quả,VNĐ,CTV địa phương,2025-04-29,13000.0
Dưa chuột/dưa chuột,Hà Nội,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-29,20000.0
Dưa hấu,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-04-29,25000.0
Dưa lê,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-04-29,35000.0
Hồng xiêm,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-04-29,40000.0
Khoai tây,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-04-29,16000.0
Mướp,Hà Nội,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-29,25000.0
Quả bí đao,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-04-29,17000.0
Quýt sim,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-04-29,40000.0
Rau cải mơ,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-04-29,20000.0
Rau cải ngọt,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-04-29,20000.0
Rau dền,Hà Nội,Bán lẻ,VNĐ/mớ,VNĐ,CTV địa phương,2025-04-29,7000.0
Rau mùng tơi,Hà Nội,Bán lẻ,VNĐ/mớ,VNĐ,CTV địa phương,2025-04-29,8000.0
Rau muống,Hà Nội,Bán lẻ,VNĐ/mớ,VNĐ,CTV địa phương,2025-04-29,7000.0
Rau ngót,Hà Nội,Bán lẻ,VNĐ/mớ,VNĐ,CTV địa phương,2025-04-29,10000.0
Thanh long ruột trắng,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-04-29,40000.0
Xoài Cát Chu,Hà Nội,Bán lẻ,VNĐ/kg,VNĐ,CTV địa phương,2025-04-29,50000.0
Bắp cải,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,10000.0
Bắp cải thảo,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,10000.0
Bưởi da xanh,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,35000.0
Bưởi Diễn,Sơn La,Bán lẻ,VNĐ/quả,VNĐ,CTV địa phương,2025-04-28,10000.0
Cà chua,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,12000.0
Cà rốt,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,20000.0
Chanh,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,35000.0
Củ cải,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,10000.0
Đào,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,30000.0
Đậu cove,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,25000.0
Dưa chuột/dưa chuột,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,20000.0
Khoai tây,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,20000.0
Mận hậu,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,60000.0
Mận tam hoa,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,20000.0
Mít thái,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,25000.0
Mơ,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,25000.0
Mồng tơi,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,20000.0
Mướp đắng,Sơn La,Bán lẻ,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,30000.0
