Tên_mặt_hàng,Thị_trường,Loại_giá,Đơn_vị_tính,Loại_tiền,Nguồn,Ngày,Giá
CLC 4900,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,16000.0
Jasmine,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,11266.67
OM 18,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,7000.0
OM 5451,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,6000.0
ST25,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,9000.0
Đài Thơm 8,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,7125.0
Gạo thường,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,16000.0
OM 18,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,7375.0
OM 5451,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-19,7125.0
Gạo 15% tấm,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,14000.0
Gạo 25% tấm,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,13600.0
Gạo 5% tấm,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,14500.0
Gạo thơm,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,19000.0
Gạo thường (IR 50404),Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,15000.0
IR 50404,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,6500.0
OM 6976,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,7200.0
Đài thơm 8,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,6900.0
Gạo NL 25% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,8460.0
Gạo NL 5% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,9330.0
Gạo XK 15% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,9760.0
Gạo XK 25% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,9680.0
Gạo XK 5% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,10070.0
IR 50404,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,5400.0
Jasmine,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,6700.0
Nhật,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,7800.0
OM 18,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,6800.0
OM 5451,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,5900.0
RVT,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,7800.0
ST 24,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-16,8500.0
Đài thơm 8,An Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-15,6900.0
Gạo thường,An Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-15,16000.0
IR 50404,An Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-15,5300.0
Jasmine,An Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-15,17000.0
Nàng Nhen,An Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-15,28000.0
Nhật,An Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-15,22000.0
OM 18,An Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-15,6900.0
Sóc Thái,An Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-15,20000.0
CLC 4900,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-15,16000.0
Jasmine,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-15,11266.67
OM 18,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-15,7000.0
OM 5451,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-15,6000.0
ST25,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-15,9000.0
Đài Thơm 8,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,7125.0
Gạo thường,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,16000.0
OM 18,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,7375.0
OM 5451,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,7125.0
108,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,15200.0
Gạo XK 10% tấm,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,13500.0
Gạo XK 5% tấm,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,15300.0
IR 50404,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,6550.0
Jacmine (Vàng),Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,7200.0
Lức đỏ (Huyết Rồng Thái),Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,21300.0
Nếp Sáp (Huyện Chợ Gạo- TG),Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,19500.0
NL L1,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,17800.0
NL L2 (lức),Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,9500.0
OM 18,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,7200.0
OM 380,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,6800.0
SaRi hạt nhỏ,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,15800.0
T 164,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,15400.0
15% tấm,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,13000.0
25% tấm,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,11000.0
5% tấm,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,14000.0
Hạt dài,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,7700.0
IR 50404,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,6550.0
IR50404,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,8000.0
OM 4900,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,7200.0
OM 5451,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-14,6850.0
Đài Thơm 8,Hậu Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-13,10366.67
IR 50404,Hậu Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-13,6850.0
OM 5451,Hậu Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-13,7750.0
ST24,Hậu Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-13,10650.0
CLC 4900,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,16000.0
Jasmine,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,11266.67
OM 18,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,7000.0
OM 5451,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,6000.0
ST25,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,9000.0
Đài Thơm 8,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,7450.0
Gạo thường,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,16000.0
IR 50404,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,6500.0
OM 18,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,7600.0
OM 5451,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-12,7075.0
Gạo 15% tấm,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,14000.0
Gạo 25% tấm,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,13600.0
Gạo 5% tấm,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,14500.0
Gạo thơm,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,19000.0
Gạo thường (IR 50404),Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,15000.0
IR 50404,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,7400.0
OM 6976,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,7500.0
Đài thơm 8,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,6400.0
Gạo NL 25% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,8520.0
Gạo NL 5% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,9420.0
Gạo XK 15% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,9900.0
Gạo XK 25% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,9770.0
Gạo XK 5% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,10250.0
IR 50404,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,5500.0
Jasmine,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,6200.0
Nhật,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,7800.0
OM 18,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,6450.0
OM 5451,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,6050.0
OM 6976,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,5700.0
RVT,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,7800.0
ST 24,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-09,8500.0
Đài Thơm 8,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,7325.0
Gạo thường,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,16000.0
IR 50404,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,6425.0
OM 18,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,7575.0
OM 5451,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,7025.0
108,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,15200.0
Gạo XK 10% tấm,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,13500.0
Gạo XK 5% tấm,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,15400.0
IR 50404,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,6500.0
Jacmine (Vàng),Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,7300.0
Lức đỏ (Huyết Rồng Thái),Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,21600.0
Nếp Sáp (Huyện Chợ Gạo- TG),Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,19300.0
NL L1,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,17900.0
NL L2 (lức),Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,9600.0
OM 18,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,7200.0
OM 380,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,6800.0
Ôtin,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,15500.0
SaRi hạt nhỏ,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,16000.0
T 164,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,15500.0
15% tấm,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,13000.0
25% tấm,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,11000.0
5% tấm,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,14000.0
Hạt dài,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,7733.33
IR 50404,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,6650.0
IR50404,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,8000.0
OM 4900,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,7200.0
OM 5451,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-07,6950.0
Lúa IR 50404 (lúa tươi),An Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-06,5700.0
Đài Thơm 8,Hậu Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-06,10500.0
IR 50404,Hậu Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-06,7000.0
OM 5451,Hậu Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-06,8000.0
ST24,Hậu Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-06,10800.0
CLC 4900,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,16000.0
Jasmine,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,11266.67
OM 18,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,7050.0
OM 5451,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,6000.0
ST25,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,9000.0
Đài Thơm 8,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,7325.0
Gạo thường,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,16000.0
IR 50404,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,6425.0
OM 18,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,7575.0
OM 5451,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-05-05,7025.0
Đài Thơm 8,Hậu Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-29,10400.0
IR 50404,Hậu Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-29,6750.0
OM 5451,Hậu Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-29,7850.0
ST24,Hậu Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-29,10850.0
CLC 4900,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,16000.0
Jasmine,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,11266.67
OM 18,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,6900.0
OM 5451,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,6000.0
ST25,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,9000.0
Đài Thơm 8,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,7325.0
Gạo thường,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,16000.0
IR 50404,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,6425.0
OM 18,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,7575.0
OM 5451,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-28,7025.0
Gạo 15% tấm,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,9770.0
Gạo 25% tấm,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,9420.0
Gạo 5% tấm,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,10130.0
Gạo thơm,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,19000.0
Gạo thường (IR 50404),Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,15000.0
IR 50404,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,6400.0
OM 6976,Đồng Tháp,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,6900.0
Đài thơm 8,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,6900.0
Gạo NL 25% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,8510.0
Gạo NL 5% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,9380.0
Gạo XK 15% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,9810.0
Gạo XK 25% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,9730.0
Gạo XK 5% tấm,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,10120.0
IR 50404,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,5800.0
Jasmine,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,6700.0
Nhật,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,7800.0
OM 18,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,6900.0
OM 5451,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,6500.0
RVT,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,7800.0
ST 24,Kiên Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-25,8500.0
Đài thơm 8,An Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-24,7000.0
Gạo thường,An Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-24,16000.0
IR 50404,An Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-24,5800.0
Jasmine,An Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-24,17000.0
Nàng Nhen,An Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-24,28000.0
Nếp AG (IR 4625),An Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-24,7800.0
Nhật,An Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-24,22000.0
OM 18,An Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-24,7000.0
OM 5451,An Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-24,6300.0
Sóc Thái,An Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-24,20000.0
CLC 4900,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-24,16000.0
IR 5451,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-24,7200.0
Jasmine,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-24,11266.67
OM 18,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-24,7100.0
OM 5451,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-24,6200.0
ST25,Cần Thơ,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-24,9000.0
Đài Thơm 8,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,7775.0
Gạo thường,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,16000.0
IR 50404,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,6175.0
OM 18,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,7775.0
OM 5451,Sóc Trăng,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,7075.0
108,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,15400.0
Gạo XK 10% tấm,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,13500.0
Gạo XK 5% tấm,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,15400.0
IR 50404,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,6500.0
Jacmine (Vàng),Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,7400.0
Lức đỏ (Huyết Rồng Thái),Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,21700.0
Nếp Sáp (Huyện Chợ Gạo- TG),Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,19800.0
NL L1,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,17800.0
NL L2 (lức),Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,9600.0
OM 18,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,7200.0
OM 380,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,7000.0
Ôtin,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,15500.0
SaRi hạt nhỏ,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,16000.0
T 164,Tiền Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,15800.0
15% tấm,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,13000.0
25% tấm,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,11000.0
5% tấm,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,14000.0
Hạt dài,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,7766.67
IR 50404,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,6850.0
IR50404,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,8000.0
OM 4900,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,7200.0
OM 5451,Trà Vinh,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-23,6950.0
Đài Thơm 8,Hậu Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-22,10400.0
IR 50404,Hậu Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-22,6750.0
OM 5451,Hậu Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-22,7850.0
ST24,Hậu Giang,Thương lái thu mua,VNĐ/Kg,VNĐ,CTV địa phương,2025-04-22,10850.0
